CM Energy (TeV),,"13,6",,,,,,,,,,13,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
BKG,,"5,5",6,"6,5","6,75",7,"7,25","7,5","7,75",8,"8,25","5,5",6,"6,5",7,8,"5,5",6,"6,5",7,"7,5",8,,,,,,,,,,,,,,,,,,,,,
Event No.,Process,,,,,,,,,,,,,,,ATLAS Sigma (fb),,,,,,,,,,,,,,,,,,,,,,,,,,,
b.19,ff_HW,"1,357E-05","3,849E-06","1,041E-06","5,306E-07","2,662E-07","1,321E-07","6,477E-08","3,129E-08","1,503E-08","7,177E-09","7,983E-06","2,072E-06","5,093E-07","1,188E-07","5,592E-09","1,880E-05","5,609E-06","1,596E-06","4,333E-07","1,121E-07","2,759E-08",,"1,12E-19","2,76E-20","5,31E-19","7,18E-21","3,13E-20","1,32E-19","6,48E-20","4,33E-19","7,98E-18","1,36E-17","1,19E-19","2,66E-19","5,59E-21","1,50E-17","5,09E-16","1,04E-15","3,85E-18","1,88E-17","5,61E-18","1,60E-18"
b.20,ff_Hff,"1,205E+00","6,020E-01","2,881E-01","1,964E-01","1,320E-01","8,740E-02","5,714E-02","3,659E-02","2,316E-02","1,432E-02","8,374E-01","3,966E-01","1,788E-01","7,585E-02","1,113E-02","1,507E+00","7,768E-01","3,855E-01","1,841E-01","8,311E-02","3,552E-02",,"8,31E-14","3,55E-14","1,96E-13","1,43E-14","3,66E-14","8,74E-14","5,71E-14","1,84E-13","8,37E-13","1,21E-12","7,59E-14","1,32E-13","1,11E-14","2,32E-11","1,79E-10","2,88E-10","6,02E-13","1,51E-12","7,77E-13","3,86E-13"
b.21,ff_Hff2,"2,788E+00","1,336E+00","6,119E-01","4,054E-01","2,631E-01","1,691E-01","1,066E-01","6,587E-02","3,986E-02","2,353E-02","1,900E+00","8,549E-01","3,652E-01","1,453E-01","1,788E-02","3,524E+00","1,751E+00","8,311E-01","3,759E-01","1,601E-01","6,382E-02",,"1,60E-13","6,38E-14","4,05E-13","2,35E-14","6,59E-14","1,69E-13","1,07E-13","3,76E-13","1,90E-12","2,79E-12","1,45E-13","2,63E-13","1,79E-14","3,99E-11","3,65E-10","6,12E-10","1,34E-12","3,52E-12","1,75E-12","8,31E-13"
b.22,gg_Httbar,"8,310E-05","2,459E-05","7,088E-06","3,753E-06","1,964E-06","1,017E-06","5,191E-07","2,607E-07","1,287E-07","6,222E-08","4,725E-05","1,308E-05","3,483E-06","8,840E-07","4,598E-08","1,174E-04","3,622E-05","1,090E-05","3,190E-06","8,932E-07","2,363E-07",,"8,93E-19","2,36E-19","3,75E-18","6,22E-20","2,61E-19","1,02E-18","5,19E-19","3,19E-18","4,73E-17","8,31E-17","8,84E-19","1,96E-18","4,60E-20","1,29E-16","3,48E-15","7,09E-15","2,46E-17","1,17E-16","3,62E-17","1,09E-17"
b.23,qq_Httbar,"6,814E-05","2,168E-05","6,695E-06","3,673E-06","1,983E-06","1,057E-06","5,557E-07","2,860E-07","1,448E-07","7,170E-08","4,233E-05","1,260E-05","3,598E-06","9,729E-07","5,667E-08","9,078E-05","3,014E-05","9,740E-06","3,043E-06","9,027E-07","2,527E-07",,"9,03E-19","2,53E-19","3,67E-18","7,17E-20","2,86E-19","1,06E-18","5,56E-19","3,04E-18","4,23E-17","6,81E-17","9,73E-19","1,98E-18","5,67E-20","1,45E-16","3,60E-15","6,70E-15","2,17E-17","9,08E-17","3,01E-17","9,74E-18"
b.24,qg_Hq,"1,113E-07","3,007E-08","8,029E-09","4,145E-09","2,124E-09","1,083E-09","5,505E-10","2,792E-10","1,411E-10","7,096E-11","6,292E-08","1,594E-08","3,973E-09","9,760E-10","5,595E-11","1,588E-07","4,449E-08","1,238E-08","3,411E-09","9,280E-10","2,481E-10",,"9,28E-22","2,48E-22","4,15E-21","7,10E-23","2,79E-22","1,08E-21","5,51E-22","3,41E-21","6,29E-20","1,11E-19","9,76E-22","2,12E-21","5,60E-23","1,41E-19","3,97E-18","8,03E-18","3,01E-20","1,59E-19","4,45E-20","1,24E-20"
b.25,ffbar_Wgm,"7,594E-03","2,648E-03","8,854E-04","4,993E-04","2,763E-04","1,503E-04","7,989E-05","4,152E-05","2,102E-05","1,040E-05","4,870E-03","1,586E-03","4,851E-04","1,366E-04","7,995E-06","9,852E-03","3,623E-03","1,267E-03","4,183E-04","1,300E-04","3,691E-05",,"1,30E-16","3,69E-17","4,99E-16","1,04E-17","4,15E-17","1,50E-16","7,99E-17","4,18E-16","4,87E-15","7,59E-15","1,37E-16","2,76E-16","8,00E-18","2,10E-14","4,85E-13","8,85E-13","2,65E-15","9,85E-15","3,62E-15","1,27E-15"
b.26,qg_Wj_hadronic,"1,553E+00","6,022E-01","2,279E-01","1,387E-01","8,325E-02","4,946E-02","2,895E-02","1,670E-02","9,486E-03","5,273E-03","1,054E+00","3,875E-01","1,368E-01","4,622E-02","4,322E-03","1,968E+00","7,898E-01","3,102E-01","1,180E-01","4,324E-02","1,503E-02",,"4,32E-14","1,50E-14","1,39E-13","5,27E-15","1,67E-14","4,95E-14","2,90E-14","1,18E-13","1,05E-12","1,55E-12","4,62E-14","8,33E-14","4,32E-15","9,49E-12","1,37E-10","2,28E-10","6,02E-13","1,97E-12","7,90E-13","3,10E-13"
b.27,qqbar_Wj_hadronic,"8,358E-01","2,955E-01","9,876E-02","5,610E-02","3,116E-02","1,700E-02","9,081E-03","4,722E-03","2,401E-03","1,189E-03","5,406E-01","1,769E-01","5,461E-02","1,553E-02","9,180E-04","1,082E+00","4,008E-01","1,417E-01","4,723E-02","1,472E-02","4,208E-03",,"1,47E-14","4,21E-15","5,61E-14","1,19E-15","4,72E-15","1,70E-14","9,08E-15","4,72E-14","5,41E-13","8,36E-13","1,55E-14","3,12E-14","9,18E-16","2,40E-12","5,46E-11","9,88E-11","2,96E-13","1,08E-12","4,01E-13","1,42E-13"
b.28,ff_ZW_bkg,"4,278E-03","1,349E-03","4,024E-04","2,151E-04","1,127E-04","5,824E-05","2,958E-05","1,470E-05","7,209E-06","3,483E-06","2,594E-03","7,518E-04","2,050E-04","5,185E-05","2,653E-06","5,812E-03","1,924E-03","6,030E-04","1,793E-04","5,032E-05","1,315E-05",,"5,03E-17","1,32E-17","2,15E-16","3,48E-18","1,47E-17","5,82E-17","2,96E-17","1,79E-16","2,59E-15","4,28E-15","5,19E-17","1,13E-16","2,65E-18","7,21E-15","2,05E-13","4,02E-13","1,35E-15","5,81E-15","1,92E-15","6,03E-16"
